1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
-25,-34,-39,-55,-55,-51,-50,-43,-52,-52,-75,-59,-51,-54,-53,-53,-62,-57,-55,-54,-57
-27,-35,-39,-76,-59,-49,-48,-41,-56,-51,-52,-63,-51,-53,-71,-54,-69,-55,-55,-53,-57
-26,-35,-39,-52,-51,-47,-46,-43,-56,-52,-50,-58,-52,-51,-53,-54,-64,-57,-60,-52,-64
-26,-35,-39,-77,-52,-47,-46,-43,-57,-51,-52,-58,-52,-51,-52,-54,-65,-55,-62,-54,-57
-27,-39,-39,-77,-58,-51,-49,-44,-57,-51,-52,-57,-52,-50,-73,-52,-66,-60,-62,-54,-64
-30,-39,-38,-77,-54,-59,-48,-45,-60,-52,-52,-57,-53,-51,-54,-54,-69,-55,-61,-57,-65
-26,-42,-39,-72,-54,-55,-45,-43,-66,-52,-51,-54,-50,-50,-55,-71,-60,-55,-60,-55,-68
-32,-39,-38,-72,-52,-53,-48,-44,-55,-52,-51,-54,-50,-50,-55,-54,-64,-55,-57,-54,-66
-21,-40,-38,-76,-55,-54,-45,-50,-61,-51,-49,-56,-50,-50,-54,-54,-62,-55,-56,-57,-64
-22,-38,-38,-75,-51,-49,-49,-49,-53,-51,-51,-56,-50,-52,-53,-54,-73,-55,-57,-56,-66
-26,-39,-38,-77,-55,-49,-52,-50,-54,-52,-64,-56,-50,-52,-54,-54,-58,-55,-56,-54,-64
-27,-41,-38,-77,-52,-51,-50,-50,-54,-50,-51,-56,-52,-50,-54,-54,-60,-55,-57,-55,-67
-27,-41,-38,-77,-54,-48,-48,-50,-54,-53,-51,-58,-52,-50,-53,-51,-64,-55,-56,-63,-57
-26,-39,-38,-78,-55,-54,-74,-45,-54,-55,-52,-54,-50,-53,-54,-55,-57,-55,-60,-55,-56
-26,-39,-40,-76,-54,-49,-52,-45,-59,-58,-51,-54,-50,-53,-54,-51,-61,-62,-63,-56,-59
-26,-40,-39,-76,-55,-50,-48,-45,-55,-52,-52,-56,-50,-53,-53,-52,-61,-56,-62,-55,-56
-26,-40,-40,-76,-55,-52,-50,-45,-55,-59,-52,-56,-50,-49,-53,-52,-57,-53,-61,-55,-56
-26,-39,-39,-75,-54,-53,-47,-45,-55,-52,-51,-56,-50,-53,-54,-52,-57,-53,-62,-56,-62
-30,-42,-39,-76,-53,-53,-52,-48,-55,-51,-51,-61,-50,-53,-54,-52,-57,-79,-62,-55,-56
-26,-41,-40,-76,-53,-52,-62,-47,-55,-52,-52,-55,-50,-54,-52,-52,-57,-52,-60,-55,-56
-27,-43,-39,-76,-55,-52,-52,-43,-55,-52,-52,-58,-50,-52,-53,-52,-57,-53,-58,-56,-56
-32,-34,-40,-52,-53,-65,-58,-43,-55,-52,-52,-58,-50,-53,-53,-51,-58,-53,-62,-55,-56
-25,-35,-39,-57,-55,-56,-50,-43,-55,-51,-60,-59,-52,-53,-53,-52,-59,-55,-60,-55,-66
-26,-41,-39,-52,-55,-56,-53,-43,-55,-51,-52,-61,-51,-54,-54,-51,-58,-55,-62,-54,-61
-26,-40,-39,-55,-53,-56,-52,-43,-55,-50,-75,-59,-50,-54,-54,-51,-58,-54,-62,-54,-61
-26,-40,-38,-52,-55,-56,-52,-59,-61,-51,-51,-58,-50,-53,-70,-52,-64,-54,-62,-58,-64
-27,-41,-39,-54,-53,-56,-52,-47,-62,-51,-50,-57,-50,-54,-53,-51,-58,-55,-61,-56,-65
